소분류,발생,검거,검거비율
살인,226,217,0.960177
영아살해,7,7,1.000000
존속살해,44,43,0.977273
촉탁·승낙살인,1,1,1.000000
자살교사·방조,30,29,0.966667
특가법(보복살인등),1,1,1.000000
살인,443,440,0.993228
존속살해,26,26,1.000000
촉탁·승낙살인,2,2,1.000000
자살교사·방조,16,15,0.937500
위계·위력·촉탁·승낙살인,1,1,1.000000
강도,155,157,1.012903
준강도,100,98,0.980000
특수강도,262,260,0.992366
준특수강도,1,1,1.000000
강도상해·치상,253,254,1.003953
강도살인·치사,19,18,0.947368
인질강도,3,3,1.000000
강도강간,24,26,1.083333
특가법(강도),4,4,1.000000
강간,2214,2166,0.978320
강간(상습),3,3,1.000000
준강간,1074,1066,0.992551
준강간(상습),3,3,1.000000
강간상해·치상,330,330,1.000000
강간살인·치사,3,4,1.333333
미성년자간음(심신미약자),16,16,1.000000
업무상위력에의한간음,30,29,0.966667
친족관계에의한강간,160,161,1.006250
장애인에대한강간·간음,387,371,0.958656
청소년에대한강간·간음,617,611,0.990276
미성년자의제강간,64,60,0.937500
13세미만미성년자강간·간음,79,76,0.962025
특수강간(준),204,202,0.990196
주거침입강간,91,91,1.000000
특수강도강간,18,17,0.944444
유사강간,377,369,0.978780
준유사강간,123,122,0.991870
유사강간상해·치상,36,35,0.972222
미성년자의제유사강간,7,7,1.000000
유사성행위,207,199,0.961353
주거침입유사강간,22,22,1.000000
특수절도유사강간,1,1,1.000000
특수강도유사강간,3,3,1.000000
강제추행,11308,10874,0.961620
강제추행(상습),22,22,1.000000
준강제추행,753,743,0.986720
준강제추행(상습),2,2,1.000000
강제추행상해·치상,146,140,0.958904
업무상위력등에의한추행,295,296,1.003390
친족관계에의한강제추행,305,299,0.980328
장애인에대한강제추행·추행,378,361,0.955026
청소년에대한강제추행·추행,1317,1266,0.961276
미성년자추행(심신미약자),3,3,1.000000
미성년자의제강제추행,25,23,0.920000
13세미만미성년자강제추행·추행,801,745,0.930087
공중밀집장소에서의추행,1498,1359,0.907210
특수강제추행(준),51,50,0.980392
주거침입강제추행,144,137,0.951389
특수절도강제추행,3,2,0.666667
특수강도강제추행,1,1,1.000000
아동학대처벌법위반(상습강제추행·추행),1,1,1.000000
강간등상해·치상,92,89,0.967391
강간등살인·치사,4,4,1.000000
장애인에대한준강간등,35,35,1.000000
청소년에대한강간등,130,131,1.007692
13세미만미성년자강간등,30,29,0.966667
주거침입강간등,45,44,0.977778
특수강도강간등,20,23,1.150000
현주·공용건조물등방화,855,822,0.961404
현주건조물등방화치상,19,17,0.894737
현주건조물등방화치사,16,13,0.812500
일반건조물등방화,421,343,0.814727
자기소유건조물등방화,25,25,1.000000
방화연소,25,18,0.720000
폭발성물건파열(치사·상),11,11,1.000000
폭발성물건파열(과실),227,228,1.004405
가스등방출(치사·상),30,30,1.000000
가스등방출(과실),3,3,1.000000
가스등공급사용방해(치사·상),9,7,0.777778
가스등공급사용방해(과실),3,3,1.000000
자동차방화,47,44,0.936170
절도,155723,87427,0.561426
절도(상습),1218,1204,0.988506
특수절도,11955,11031,0.922710
특수절도(상습),56,55,0.982143
야간주거침입절도,5994,5260,0.877544
야간주거침입절도(상습),89,98,1.101124
불법사용,577,448,0.776430
특가법(절도),1197,1146,0.957393
상해,39153,38138,0.974076
상해(중),58,57,0.982759
상해(상습),28,28,1.000000
상해치사,54,54,1.000000
존속상해,331,328,0.990937
존속상해(중),1,1,1.000000
존속상해(상습),5,5,1.000000
존속상해치사,4,4,1.000000
특가법(보복상해등),30,30,1.000000
아동학대처벌법위반(상습상해),3,3,1.000000
특수상해,46,36,0.782609
특수상해(중),5,5,1.000000
특수상해(상습),3,3,1.000000
존속상해(특수·특수중),45,45,1.000000
폭행,145524,138013,0.948387
폭행(상습),171,167,0.976608
폭행치상,1491,1456,0.976526
폭행치사,52,52,1.000000
특수폭행,7472,7213,0.965337
특수폭행(상습),304,304,1.000000
특수폭행치상,92,92,1.000000
특수폭행치사,2,1,0.500000
존속폭행,1540,1505,0.977273
존속폭행(특수),42,42,1.000000
존속폭행(상습),6,6,1.000000
존속폭행치상,13,13,1.000000
존속폭행치사,2,2,1.000000
특가법(운전자폭행등),2425,2391,0.985979
특가법(보복폭행등),61,59,0.967213
특가법(보복범죄등),57,55,0.964912
아동학대처벌법위반(상습폭행),13,13,1.000000
체포·감금,1001,941,0.940060
체포·감금(중),32,31,0.968750
체포·감금(특수·특수중),62,61,0.983871
체포·감금치사상(중·특수·상습),91,86,0.945055
존속체포·감금,17,16,0.941176
존속체포·감금(특수·특수중),2,2,1.000000
특가법(보복체포·감금등),2,2,1.000000
협박,8098,7175,0.886021
협박(특수),8754,8637,0.986635
협박(상습),18,18,1.000000
협박(상습특수),2,2,1.000000
존속협박,146,144,0.986301
존속협박(특수),64,64,1.000000
존속협박(상습),1,1,1.000000
존속협박(상습특수),1,1,1.000000
특가법(보복협박등),116,113,0.974138
약취·유인(미성년자),135,118,0.874074
약취·유인(추행·간음·결혼·영리),41,40,0.975610
약취·유인(노동력착취·성매매·성적착취·장기적출),4,4,1.000000
인신매매,3,2,0.666667
국외이송약취·유인·인신매매,1,1,1.000000
피약취자·피유인자·피매매자(상해·치상),1,1,1.000000
특가법(13세미만약취·유인),2,1,0.500000
폭력행위등처벌에관한법률위반(상습),23,22,0.956522
폭력행위등처벌에관한법률위반(공동),8659,8162,0.942603
폭력행위등처벌에관한법률위반(집단 흉기등),164,156,0.951220
폭력행위등처벌에관한법률위반(상습집단 흉기등),10,9,0.900000
폭력행위등처벌에관한법률위반(야간·공동),1,1,1.000000
폭력행위등처벌에관한법률위반(단체등의구성·활동),101,100,0.990099
폭력행위등처벌에관한법률위반(단체등의[상습·공동·집단흉기등·상습집단흉기등]),56,55,0.982143
폭력행위등처벌에관한법률위반(우범자),190,189,0.994737
공갈,3906,2402,0.614951
공갈(상습),48,48,1.000000
특경법(공갈),25,22,0.880000
특수공갈,117,112,0.957265
손괴의죄,56684,32726,0.577341
직무유기·수행거부,581,333,0.573150
직권남용(권리행사방해·체포·감금),458,250,0.545852
독직폭행·가혹행위,114,64,0.561404
피의사실공표,3,2,0.666667
공무상비밀누설,21,19,0.904762
선거방해,1,1,1.000000
특가법(체포·감금 독직폭행·가혹행위),6,5,0.833333
뇌물수수등,182,173,0.950549
뇌물공여등,44,39,0.886364
특가법(뇌물),36,35,0.972222
특가법(알선수재),15,15,1.000000
부정청탁금지법,70,66,0.942857
통화위조·변조,836,101,0.120813
특가법(통화위조),6,3,0.500000
기타통화에관한죄,352,49,0.139205
공문서위조·변조,2205,1873,0.849433
공전자기록등위작·변작,55,48,0.872727
사문서위조·변조,8590,7585,0.883003
사전자기록등위작·변작,348,257,0.738506
공인등의위조·부정사용및행사,950,907,0.954737
사인등의위조·부정사용및행사,142,124,0.873239
유가증권위조·변조,152,111,0.730263
우표(인지)등위조·변조,45,42,0.933333
사기,260665,194686,0.746882
사기(상습),827,784,0.948005
준사기,146,132,0.904110
준사기(상습),1,1,1.000000
컴퓨터등사용사기,2415,1508,0.624431
편의시설부정이용,805,638,0.792547
부당이득,58,46,0.793103
특경법(사기),2553,2005,0.785351
보험사기방지특별법위반,2559,2500,0.976944
횡령,10930,9236,0.845014
업무상횡령,6680,6138,0.918862
점유이탈물등횡령,36767,11126,0.302608
특경법(횡령),736,607,0.824728
배임,1301,1155,0.887779
업무상배임,1964,1771,0.901731
배임수재,193,169,0.875648
배임증재,28,27,0.964286
특경법(배임),813,749,0.921279
특경법(수재등),19,14,0.736842
특경법(증재등),1,1,1.000000
특경법(알선수재),25,18,0.720000
간통,1,0,0.000000
공연음란,2612,2017,0.772205
음화등반포(판매 임대 전시 제조),13,10,0.769231
정보통신망이용촉진및정보보호등에관한법률(음란물유포),2463,2056,0.834754
성폭력범죄의처벌등에관한특례법(카메라등이용촬영),5925,5613,0.947342
성폭력범죄의처벌등에관한특례법(통신매체이용음란),1365,1218,0.892308
성폭력범죄의처벌등에관한특례법(성적목적다중이용장소침입),639,581,0.909233
아동·청소년의성보호에관한법률위반(음란물제작배포등),988,858,0.868421
풍속영업의규제에관한법률,152,151,0.993421
도박,3716,3718,1.000538
도박(상습),100,102,1.020000
도박개장,312,271,0.868590
사행행위등규제및처벌특례법,1876,1794,0.956290
신용 업무와경매에관한죄,22904,22243,0.971140
여신전문금융업법위반,2345,1412,0.602132
대부업의등록및금융이용자보호에관한법률,1381,1206,0.873280
유사수신행위의규제에관한법률,666,519,0.779279
전자금융거래법위반,7877,7720,0.980069
부정수표단속법,1755,1253,0.713960
조세범처벌법,2251,1918,0.852066
관세법,5,4,0.800000
외국환거래법,92,84,0.913043
지방세법,159,119,0.748428
저작권법,9624,5131,0.533146
특허법,176,137,0.778409
상표법,2485,2361,0.950101
실용신안법,15,13,0.866667
디자인보호법,224,182,0.812500
특가법(관세),7,5,0.714286
특가법(국고손실),2,2,1.000000
특가법(조세),286,227,0.793706
특경법(사금융알선등),7,7,1.000000
기타경제범죄,1733,1679,0.968840
아편·몰핀에관한죄,1,1,1.000000
마약류관리에관한법률(대마),625,582,0.931200
마약류관리에관한법률(마약),1208,1191,0.985927
마약류관리에관한법률(향정),4625,4341,0.938595
마약류불법거래방지에관한특례법,54,53,0.981481
음용수에관한죄,17,16,0.941176
공중위생관리법,1137,1083,0.952507
식품위생법,4805,4748,0.988137
의료법,2986,2852,0.955124
약사법,624,602,0.964744
전염병예방법,1,1,1.000000
보건범죄특조법(부정의료업자),131,129,0.984733
보건범죄특조법(부정의약품),7,7,1.000000
기타보건범죄,1325,1286,0.970566
대기환경보전법,1075,1065,0.990698
토양환경보전법,10,10,1.000000
야생생물보호및관리에관한법률위반,99,88,0.888889
특가법(산림),2,2,1.000000
폐기물관리법,1231,1127,0.915516
해양환경관리법,702,702,1.000000
환경범죄의단속에관한특별조치법,1,1,1.000000
기타환경범죄,1671,1667,0.997606
교통사고처리특례법(인피교통사고),191973,187402,0.976189
