소분류,발생,검거,검거비율
살인,3,3,1.000000
존속살해,1,1,1.000000
살인,3,2,0.666667
강도상해·치상,1,1,1.000000
강도살인·치사,1,1,1.000000
강제추행,3,3,1.000000
준강제추행,1,1,1.000000
공중밀집장소에서의추행,1,1,1.000000
일반건조물등방화,1,1,1.000000
가스등공급사용방해(과실),1,1,1.000000
절도,118,73,0.618644
특수절도,32,30,0.937500
야간주거침입절도,37,36,0.972973
불법사용,5,7,1.400000
상해,61,60,0.983607
상해(중),1,1,1.000000
상해(상습),3,2,0.666667
특수상해,1,1,1.000000
폭행,111,110,0.990991
폭행(상습),2,1,0.500000
폭행치상,19,19,1.000000
특수폭행,15,15,1.000000
특가법(보복폭행등),1,1,1.000000
협박,3,3,1.000000
협박(특수),5,4,0.800000
약취·유인(추행·간음·결혼·영리),1,1,1.000000
폭력행위등처벌에관한법률위반(상습),1,0,0.000000
폭력행위등처벌에관한법률위반(공동),3,3,1.000000
공갈,17,17,1.000000
손괴의죄,79,48,0.607595
부정청탁금지법,1,1,1.000000
기타통화에관한죄,1,1,1.000000
공문서위조·변조,7,7,1.000000
공전자기록등위작·변작,1,1,1.000000
사문서위조·변조,929,928,0.998924
공인등의위조·부정사용및행사,408,408,1.000000
사기,512,481,0.939453
사기(상습),1,1,1.000000
특경법(사기),21,21,1.000000
보험사기방지특별법위반,2,2,1.000000
횡령,8,8,1.000000
업무상횡령,154,154,1.000000
점유이탈물등횡령,4,4,1.000000
업무상배임,6,6,1.000000
특경법(배임),1,1,1.000000
도박,1,1,1.000000
신용 업무와경매에관한죄,43,43,1.000000
전자금융거래법위반,2,2,1.000000
조세범처벌법,289,289,1.000000
외국환거래법,2,2,1.000000
상표법,5,5,1.000000
특가법(관세),2,2,1.000000
기타경제범죄,24,24,1.000000
마약류관리에관한법률(마약),24,24,1.000000
마약류관리에관한법률(향정),35,36,1.028571
식품위생법,17,17,1.000000
보건범죄특조법(부정의료업자),1,1,1.000000
기타보건범죄,119,119,1.000000
대기환경보전법,46,46,1.000000
폐기물관리법,47,48,1.021277
해양환경관리법,752,748,0.994681
기타환경범죄,923,921,0.997833
교통사고처리특례법(인피교통사고),1,1,1.000000
교통방해의죄,105,104,0.990476
기타교통범죄,4,3,0.750000
산업안전보건법,1,1,1.000000
직업안정법,81,81,1.000000
기타노동범죄,22,21,0.954545
기타병역범죄,1,1,1.000000
건설산업기본법,651,651,1.000000
건축법,10,10,1.000000
경범죄처벌법,1,1,1.000000
고압가스안전관리법,2,2,1.000000
골재채취법,114,114,1.000000
공무방해에관한죄,39,39,1.000000
공유수면관리및매립에관한법률위반,966,963,0.996894
과실치사상의죄,275,273,0.992727
국토의계획및이용에관한법률,3,3,1.000000
권리행사를방해하는죄,5,5,1.000000
낚시관리및육성법위반,949,949,1.000000
담배사업법,2,2,1.000000
명예에관한죄,7,7,1.000000
무고의죄,1,2,2.000000
문화재보호법,3,3,1.000000
배타적경제수역의외국인어업등에관한법률,151,150,0.993377
범인은닉·범인도피죄,1,1,1.000000
석유및석유대체연료사업법,303,303,1.000000
선박안전법,2270,2269,0.999559
선박직원법,584,579,0.991438
성폭력범죄의처벌등에관한특례법(기타),1,0,0.000000
수산업법,4136,4115,0.994923
신앙에관한죄,1,1,1.000000
실화및업무상실화죄,48,47,0.979167
영해및접속수역법,7,7,1.000000
유기와학대의죄,1,1,1.000000
유선및도선사업법,172,173,1.005814
자동차관리법,1,1,1.000000
자연공원법,1,1,1.000000
장물에관한죄,183,184,1.005464
전파법,25,24,0.960000
정보통신망이용촉진및정보보호등에관한법률위반(기타),1,1,1.000000
주거침입의죄,6,5,0.833333
주민등록법,3,3,1.000000
총포·도검·화약류등의안전관리에관한법률,1,1,1.000000
축산물위생관리법,465,465,1.000000
출입국관리법,34,33,0.970588
하수도법,1,1,1.000000
항만운송사업법,4918,4909,0.998170
허위감정 증거인멸·은닉 증인은닉죄,2,2,1.000000
기타,4732,4717,0.996830
