소분류,발생,검거,검거비율
살인,225,226,1.004444
영아살해,7,7,1.000000
존속살해,35,36,1.028571
촉탁·승낙살인,1,1,1.000000
자살교사·방조,26,26,1.000000
위계·위력·촉탁·승낙살인,1,1,1.000000
특가법(보복살인등),2,2,1.000000
살인,439,437,0.995444
영아살해,1,1,1.000000
존속살해,30,30,1.000000
자살교사·방조,10,11,1.100000
위계·위력·촉탁·승낙살인,2,2,1.000000
강도,127,129,1.015748
준강도,75,77,1.026667
특수강도,316,312,0.987342
준특수강도,5,5,1.000000
강도상해·치상,233,235,1.008584
강도살인·치사,22,22,1.000000
인질강도,2,1,0.500000
강도강간,10,11,1.100000
특가법(강도),7,7,1.000000
특가법(강도상해재범),1,2,2.000000
강간,2265,2215,0.977925
강간(상습),2,2,1.000000
준강간,1160,1135,0.978448
준강간(상습),2,2,1.000000
강간상해·치상,328,326,0.993902
미성년자간음(심신미약자),6,6,1.000000
업무상위력에의한간음,27,26,0.962963
친족관계에의한강간,116,110,0.948276
장애인에대한강간·간음,350,338,0.965714
청소년에대한강간·간음,598,589,0.984950
미성년자의제강간,71,67,0.943662
13세미만미성년자강간·간음,86,86,1.000000
특수강간(준),207,204,0.985507
주거침입강간,75,75,1.000000
특수강도강간,17,16,0.941176
유사강간,376,374,0.994681
준유사강간,136,134,0.985294
유사강간상해·치상,17,15,0.882353
미성년자의제유사강간,6,5,0.833333
유사성행위,232,225,0.969828
주거침입유사강간,14,14,1.000000
특수강도유사강간,1,1,1.000000
강제추행,11600,11163,0.962328
강제추행(상습),11,11,1.000000
준강제추행,785,767,0.977070
강제추행상해·치상,160,155,0.968750
업무상위력등에의한추행,236,234,0.991525
친족관계에의한강제추행,284,281,0.989437
장애인에대한강제추행·추행,371,361,0.973046
청소년에대한강제추행·추행,1164,1130,0.970790
미성년자추행(심신미약자),1,1,1.000000
미성년자의제강제추행,28,27,0.964286
13세미만미성년자강제추행·추행,846,808,0.955083
공중밀집장소에서의추행,1429,1254,0.877537
특수강제추행(준),44,44,1.000000
주거침입강제추행,158,156,0.987342
특수절도강제추행,1,1,1.000000
특수강도강제추행,2,2,1.000000
강간등상해·치상,107,107,1.000000
강간등살인·치사,2,2,1.000000
장애인에대한준강간등,18,18,1.000000
청소년에대한강간등,112,111,0.991071
13세미만미성년자강간등,25,24,0.960000
주거침입강간등,39,39,1.000000
특수강도강간등,22,23,1.045455
현주·공용건조물등방화,754,710,0.941645
현주건조물등방화치상,31,31,1.000000
현주건조물등방화치사,13,12,0.923077
일반건조물등방화,406,346,0.852217
자기소유건조물등방화,43,39,0.906977
방화연소,17,13,0.764706
진화방해,1,1,1.000000
폭발성물건파열(치사·상),3,3,1.000000
폭발성물건파열(과실),17,15,0.882353
가스등방출(치사·상),16,16,1.000000
가스등방출(과실),3,3,1.000000
가스등공급사용방해(치사·상),14,8,0.571429
가스등공급사용방해(과실),1,1,1.000000
자동차방화,43,42,0.976744
절도,165358,94148,0.569359
절도(상습),1070,1057,0.987850
특수절도,11783,10717,0.909531
특수절도(상습),81,68,0.839506
야간주거침입절도,6329,5552,0.877232
야간주거침입절도(상습),122,120,0.983607
불법사용,648,496,0.765432
불법사용(상습),2,2,1.000000
특가법(절도),1564,1513,0.967391
상해,36245,35393,0.976493
상해(중),57,56,0.982456
상해(상습),27,25,0.925926
상해치사,49,50,1.020408
존속상해,346,344,0.994220
존속상해(중),1,1,1.000000
존속상해(상습),3,3,1.000000
존속상해치사,10,10,1.000000
특가법(보복상해등),31,32,1.032258
아동학대처벌법위반(상습상해),3,3,1.000000
특수상해,35,28,0.800000
특수상해(중),3,3,1.000000
특수상해(상습),2,2,1.000000
존속상해(특수·특수중),46,45,0.978261
폭행,143008,135649,0.948541
폭행(상습),88,74,0.840909
폭행치상,1518,1485,0.978261
폭행치사,44,44,1.000000
특수폭행,8037,7796,0.970014
특수폭행(상습),36,36,1.000000
특수폭행치상,66,61,0.924242
특수폭행치사,1,2,2.000000
존속폭행,1602,1555,0.970662
존속폭행(특수),28,28,1.000000
존속폭행(상습),11,11,1.000000
존속폭행치상,19,19,1.000000
존속폭행치사,1,1,1.000000
특가법(운전자폭행등),2587,2551,0.986084
특가법(보복폭행등),68,67,0.985294
특가법(보복범죄등),68,67,0.985294
아동학대처벌법위반(상습폭행),15,15,1.000000
체포·감금,1039,995,0.957652
체포·감금(중),31,31,1.000000
체포·감금(특수·특수중),67,65,0.970149
체포·감금치사상(중·특수·상습),88,83,0.943182
존속체포·감금,13,13,1.000000
존속체포·감금치사상(중·특수·상습),4,4,1.000000
특가법(보복체포·감금등),1,1,1.000000
협박,9810,8761,0.893068
협박(특수),10788,10630,0.985354
협박(상습),20,19,0.950000
협박(상습특수),3,3,1.000000
존속협박,196,192,0.979592
존속협박(특수),81,81,1.000000
존속협박(상습),1,1,1.000000
존속협박(상습특수),1,1,1.000000
특가법(보복협박등),122,119,0.975410
약취·유인(미성년자),171,155,0.906433
약취·유인(추행·간음·결혼·영리),63,56,0.888889
약취·유인(노동력착취·성매매·성적착취·장기적출),9,8,0.888889
인신매매,4,3,0.750000
인신매매등(노동력착취·성매매·성적착취·장기적출),1,1,1.000000
국외이송약취·유인·인신매매,1,0,0.000000
