소분류,발생,검거,검거비율
피약취자·피유인자·피매매자(상해·치상),1,1,1.000000
폭력행위등처벌에관한법률위반(상습),43,42,0.976744
폭력행위등처벌에관한법률위반(공동),7871,7482,0.950578
폭력행위등처벌에관한법률위반(야간·공동),3,3,1.000000
폭력행위등처벌에관한법률위반(단체등의구성·활동),83,81,0.975904
폭력행위등처벌에관한법률위반(단체등의[상습·공동·집단흉기등·상습집단흉기등]),76,70,0.921053
폭력행위등처벌에관한법률위반(우범자),160,157,0.981250
공갈,4612,2803,0.607762
공갈(상습),127,127,1.000000
특경법(공갈),25,23,0.920000
특수공갈,83,78,0.939759
손괴의죄,58146,35222,0.605751
직무유기·수행거부,590,327,0.554237
직권남용(권리행사방해·체포·감금),495,292,0.589899
독직폭행·가혹행위,122,70,0.573770
피의사실공표,4,2,0.500000
공무상비밀누설,46,30,0.652174
뇌물수수등,106,98,0.924528
뇌물공여등,40,36,0.900000
특가법(뇌물),23,23,1.000000
특가법(알선수재),11,10,0.909091
부패방지법,1,1,1.000000
부정청탁금지법,79,72,0.911392
통화위조·변조,606,48,0.079208
기타통화에관한죄,374,59,0.157754
공문서위조·변조,2312,1957,0.846453
공전자기록등위작·변작,49,40,0.816327
사문서위조·변조,7961,6875,0.863585
사전자기록등위작·변작,563,370,0.657194
공인등의위조·부정사용및행사,283,212,0.749117
사인등의위조·부정사용및행사,175,156,0.891429
유가증권위조·변조,140,103,0.735714
사기,293940,216737,0.737351
사기(상습),653,600,0.918836
준사기,119,107,0.899160
준사기(상습),2,2,1.000000
컴퓨터등사용사기,2914,1613,0.553535
편의시설부정이용,1203,948,0.788030
부당이득,42,33,0.785714
특경법(사기),2436,2001,0.821429
보험사기방지특별법위반,3163,3080,0.973759
횡령,10651,8907,0.836260
업무상횡령,6031,5433,0.900846
점유이탈물등횡령,41198,12215,0.296495
특경법(횡령),628,536,0.853503
배임,1264,1102,0.871835
업무상배임,2671,2422,0.906776
배임수재,127,121,0.952756
배임증재,38,34,0.894737
특경법(배임),430,354,0.823256
특경법(수재등),13,11,0.846154
특경법(증재등),3,2,0.666667
특경법(알선수재),20,19,0.950000
간통,2,1,0.500000
공연음란,2960,2304,0.778378
정보통신망이용촉진및정보보호등에관한법률(음란물유포),1482,1163,0.784750
성폭력범죄의처벌등에관한특례법(카메라등이용촬영),5764,5442,0.944136
성폭력범죄의처벌등에관한특례법(통신매체이용음란),1437,1224,0.851775
성폭력범죄의처벌등에관한특례법(성적목적다중이용장소침입),666,627,0.941441
아동·청소년의성보호에관한법률위반(아동·청소년성착취물제작·배포등),735,594,0.808163
풍속영업의규제에관한법률,87,87,1.000000
도박,4034,3993,0.989836
도박(상습),84,82,0.976190
도박개장,462,421,0.911255
사행행위등규제및처벌특례법,3428,3331,0.971704
여신전문금융업법위반,2167,1294,0.597139
대부업의등록및금융이용자보호에관한법률,1479,1309,0.885057
유사수신행위의규제에관한법률,977,711,0.727738
전자금융거래법위반,8132,8151,1.002336
부정수표단속법,1557,991,0.636480
조세범처벌법,2351,1936,0.823479
관세법,5,3,0.600000
외국환거래법,116,103,0.887931
지방세법,167,131,0.784431
저작권법,7489,4415,0.589531
특허법,182,148,0.813187
상표법,2709,2507,0.925434
실용신안법,9,6,0.666667
디자인보호법,272,241,0.886029
특가법(관세),4,4,1.000000
특가법(국고손실),6,6,1.000000
특가법(조세),238,184,0.773109
특경법(사금융알선등),16,16,1.000000
특경법(재산국외도피),3,3,1.000000
기타경제범죄,1198,1133,0.945743
마약류관리에관한법률(대마),1098,1018,0.927140
마약류관리에관한법률(마약),1404,1379,0.982194
마약류관리에관한법률(향정),5433,5090,0.936867
마약류불법거래방지에관한특례법,102,100,0.980392
특가법(향정),1,1,1.000000
음용수에관한죄,15,13,0.866667
공중위생관리법,1378,1331,0.965893
식품위생법,5503,5423,0.985462
의료법,3358,3263,0.971709
약사법,740,711,0.960811
보건범죄특조법(부정식품),3,2,0.666667
보건범죄특조법(부정의료업자),150,143,0.953333
보건범죄특조법(부정의약품),4,4,1.000000
기타보건범죄,1419,1399,0.985906
대기환경보전법,1112,1106,0.994604
토양환경보전법,15,15,1.000000
야생생물보호및관리에관한법률위반,120,110,0.916667
특가법(산림),1,1,1.000000
폐기물관리법,1378,1258,0.912917
해양환경관리법,411,410,0.997567
환경범죄의단속에관한특별조치법,1,1,1.000000
기타환경범죄,839,815,0.971395
교통사고처리특례법(인피교통사고),199529,195247,0.978539
도로교통법(물피교통사고),14706,13541,0.920781
도로교통법(물피교통사고미조치),12191,9130,0.748913
특가법(도주차량),9439,8957,0.948935
특가법(위험운전치사상),4937,4930,0.998582
교통방해의죄,1336,1279,0.957335
도로교통법(공동위험행위),40,37,0.925000
도로교통법(무면허운전),23469,23273,0.991649
도로교통법(음주운전),107381,106930,0.995800
도로교통법(음주측정거부),2684,2672,0.995529
도로법,1641,1605,0.978062
기타교통범죄,1,1,1.000000
근로기준법,22,13,0.590909
노동조합및노동관계조정법,14,13,0.928571
산업안전보건법,34,29,0.852941
직업안정법,320,301,0.940625
기타노동범죄,585,576,0.984615
공안을해하는죄,131,123,0.938931
국가보안법,28,29,1.035714
기타안보범죄,10,4,0.400000
공직선거법,35,27,0.771429
정당법,1,1,1.000000
정치자금법,23,22,0.956522
기타선거범죄,552,537,0.972826
병역법,6259,5806,0.927624
예비군법위반,6452,5936,0.920025
기타병역범죄,1,0,0.000000
가정폭력범죄의처벌등에관한특례법위반,392,387,0.987245
개인정보 보호법,1520,1302,0.856579
건설산업기본법,832,790,0.949519
건설폐기물의재활용촉진에관한법률,50,45,0.900000
건축법,3918,3846,0.981623
게임산업진흥에관한법률,4376,4290,0.980347
경범죄처벌법,7627,6882,0.902321
고압가스안전관리법,383,337,0.879896
골재채취법,54,51,0.944444
공무방해에관한죄,11545,11387,0.986314
공유수면관리및매립에관한법률위반,6032,6030,0.999668
공인중개사법,755,706,0.935099
과실치사상의죄,6614,6111,0.923949
교육환경법,703,696,0.990043
국민건강보험법,412,274,0.665049
국민연금법,132,124,0.939394
국토의계획및이용에관한법률,1539,1509,0.980507
권리행사를방해하는죄,11527,9610,0.833695
낙태의죄,20,18,0.900000
낚시관리및육성법위반,1157,1156,0.999136
내수면어업법,65,61,0.938462
농수산물유통및가격안정에관한법률,40,40,1.000000
농수산물품질관리법,7,7,1.000000
농지법,702,666,0.948718
담배사업법,268,263,0.981343
도시가스사업법,47,43,0.914894
도시공원및녹지등에관한법률,80,74,0.925000
도주와도주원조죄,6,6,1.000000
독점규제및공정거래에관한법률,7,2,0.285714
명예에관한죄,28885,23197,0.803081
무고의죄,4159,3486,0.838182
문화재보호법,142,138,0.971831
밀항단속법,8,6,0.750000
방문판매등에관한법률,148,125,0.844595
배타적경제수역의외국인어업등에관한법률,98,98,1.000000
범인은닉·범인도피죄,101,99,0.980198
변호사법,311,262,0.842444
부정경쟁방지및영업비밀보호에관한법률,493,438,0.888438
비밀침해죄,120,88,0.733333
비파괴검사기술의진흥및관리에관한법률,2,2,1.000000
산림법,3,2,0.666667
생명윤리및안전에관한법률,7,5,0.714286
석유및석유대체연료사업법,1309,1303,0.995416
선박안전법,1109,1106,0.997295
선박직원법,2201,2198,0.998637
성매매방지및피해자보호등에관한법률위반,13,10,0.769231
성매매알선등행위의처벌에관한법률위반(성매매),1712,1695,0.990070
성매매알선등행위의처벌에관한법률위반(성매매강요등),23,18,0.782609
성매매알선등행위의처벌에관한법률위반(성매매광고),200,193,0.965000
성매매알선등행위의처벌에관한법률위반(성매매알선등),1768,1747,0.988122
성매매알선등행위의처벌에관한법률위반(아동·청소년),2,2,1.000000
성매매알선등행위의처벌에관한법률위반(기타),1352,1282,0.948225
성폭력범죄의처벌등에관한특례법(기타),5089,4842,0.951464
소방기본법,17,16,0.941176
수도법,124,118,0.951613
수산업법,3516,3506,0.997156
신앙에관한죄,342,306,0.894737
신용정보의이용및보호에관한법률,33,32,0.969697
실화및업무상실화죄,2304,1867,0.810330
아동·청소년의성보호에관한법률위반(강요행위등),47,46,0.978723
아동·청소년의성보호에관한법률위반(매매),5,3,0.600000
아동·청소년의성보호에관한법률위반(성매수등),190,176,0.926316
아동·청소년의성보호에관한법률위반(알선영업행위등),65,63,0.969231
아동·청소년의성보호에관한법률위반(기타),353,310,0.878187
아동복지법위반(유기·학대 등),2215,2157,0.973815
아동복지법(기타),3138,3074,0.979605
아동학대처벌법위반(비밀유지의무위반 등),2,2,1.000000
아동학대처벌법위반(아동복지시설 종사자 등의 아동학대 가중처벌),97,95,0.979381
아동학대처벌법위반(유기·학대 등),33,33,1.000000
아동학대처벌법위반(처분 불이행 등),42,42,1.000000
아동학대처벌법위반(기타),67,61,0.910448
액화석유가스의안전및사업관리법,97,96,0.989691
양곡관리법,2,2,1.000000
여객자동차운수사업법,1134,1090,0.961199
여권법,26,23,0.884615
영해및접속수역법,9,9,1.000000
영화및비디오물의진흥에관한법률,27,27,1.000000
옥외광고물법위반,216,186,0.861111
위증죄,1746,1512,0.865979
위치정보의보호및이용등에관한법률,121,114,0.942149
유기와학대의죄,199,81,0.407035
유선및도선사업법,3612,3606,0.998339
음반·비디오물및게임물에관한법률,1,1,1.000000
음악산업진흥에관한법률,5156,5121,0.993212
인질강요·살해·상해,1,1,1.000000
일수와수리에관한죄,9,7,0.777778
자동차관리법,16533,15823,0.957056
자동차손해배상보장법,4973,4814,0.968027
자연공원법,107,102,0.953271
장물에관한죄,890,860,0.966292
장사등에관한법률,110,104,0.945455
재난및안전관리기본법,2,2,1.000000
전기통신기본법,820,778,0.948780
전파법,970,968,0.997938
정보통신망이용촉진및정보보호등에관한법률위반(개인정보누설등),36,23,0.638889
정보통신망이용촉진및정보보호등에관한법률위반(명예훼손),7594,5621,0.740190
정보통신망이용촉진및정보보호등에관한법률위반(정보통신망침해등),2469,583,0.236128
정보통신망이용촉진및정보보호등에관한법률위반(기타),3563,2134,0.598933
정신건강복지법,17,16,0.941176
주거침입의죄,17012,12295,0.722725
주민등록법,1696,1408,0.830189
주차장법,154,152,0.987013
집회및시위에관한법률,223,204,0.914798
채무자회생및파산에관한법률위반,78,65,0.833333
철도안전법,73,73,1.000000
청소년보호법,8009,7928,0.989886
총포·도검·화약류등의안전관리에관한법률,365,347,0.950685
축산물위생관리법,221,219,0.990950
출입국관리법,3843,3667,0.954202
통신비밀보호법,221,206,0.932127
특가법(무고),1,2,2.000000
폭력행위등처벌에관한법률위반(기타),6,6,1.000000
하수도법,66,66,1.000000
하천법,213,205,0.962441
학원의설립·운영및과외교섭에관한법률,407,403,0.990172
항만운송사업법,357,357,1.000000
형사소송법,2,0,0.000000
형의실효등에관한법률,12,11,0.916667
화물자동차운수사업법,2295,2260,0.984749
기타,31702,30336,0.956911
