죄종(대),죄종(중),죄종(소),발생,검거,검거인원(남),검거인원(여),검거인원(불상),법인체
기타범죄,기타범죄,유선및도선사업법,43,43,46,2,0,5
기타범죄,기타범죄,음반·비디오물및게임물에관한법률,2,2,0,8,0,0
기타범죄,기타범죄,음악산업진흥에관한법률,5493,5474,1957,6547,121,0
기타범죄,기타범죄,인질강요·살해·상해,4,4,8,0,0,0
기타범죄,기타범죄,일수와수리에관한죄,8,8,12,0,0,0
기타범죄,기타범죄,자동차관리법,15514,14826,15905,1442,399,607
기타범죄,기타범죄,자동차손해배상보장법,5688,5609,5910,660,22,4
기타범죄,기타범죄,자연공원법,119,114,114,17,3,7
기타범죄,기타범죄,장물에관한죄,929,895,1508,282,28,1
기타범죄,기타범죄,장사등에관한법률,86,80,95,10,3,4
기타범죄,기타범죄,재난및안전관리기본법,5,5,7,2,0,1
기타범죄,기타범죄,전기통신기본법,556,499,1482,328,76,32
기타범죄,기타범죄,전파법,52,50,60,2,2,8
기타범죄,기타범죄,정보통신망이용촉진및정보보호등에관한법률위반(개인정보누설등),37,28,40,18,7,1
기타범죄,기타범죄,정보통신망이용촉진및정보보호등에관한법률위반(명예훼손),6641,4807,4496,3060,2667,23
기타범죄,기타범죄,정보통신망이용촉진및정보보호등에관한법률위반(정보통신망침해등),1933,535,520,114,1314,20
기타범죄,기타범죄,정보통신망이용촉진및정보보호등에관한법률위반(기타),3442,2130,1926,832,1396,15
기타범죄,기타범죄,정신건강복지법,15,11,19,9,2,2
기타범죄,기타범죄,주거침입의죄,13520,10142,9807,2702,311,3
기타범죄,기타범죄,주민등록법,2152,1882,1141,1024,198,6
기타범죄,기타범죄,주차장법,239,234,223,115,1,11
기타범죄,기타범죄,집회및시위에관한법률,188,173,291,95,43,1
기타범죄,기타범죄,채무자회생및파산에관한법률위반,89,80,92,59,1,3
기타범죄,기타범죄,철도안전법,83,80,79,8,2,2
기타범죄,기타범죄,청소년보호법,8284,8164,4767,5593,98,13
기타범죄,기타범죄,총포·도검·화약류등의안전관리에관한법률,346,329,399,38,7,21
기타범죄,기타범죄,축산물위생관리법,253,250,257,70,1,35
기타범죄,기타범죄,출입국관리법,2267,2136,2320,1047,21,336
기타범죄,기타범죄,통신비밀보호법,191,175,212,79,12,1
기타범죄,기타범죄,특가법(무고),1,0,0,0,0,0
기타범죄,기타범죄,특가법(장물),1,1,1,1,0,0
기타범죄,기타범죄,특경법(보고의무),0,0,0,0,0,0
기타범죄,기타범죄,폭력행위등처벌에관한법률위반(기타),7,5,9,2,0,0
기타범죄,기타범죄,하수도법,69,66,66,18,6,11
기타범죄,기타범죄,하천법,213,208,225,38,16,18
기타범죄,기타범죄,학원의설립·운영및과외교섭에관한법률,509,507,167,391,1,0
기타범죄,기타범죄,항만운송사업법,3769,3738,48,0,0,33
기타범죄,기타범죄,허위감정 증거인멸·은닉 증인은닉죄,89,67,129,36,12,0
기타범죄,기타범죄,형사소송법,1,1,2,0,0,0
기타범죄,기타범죄,형의실효등에관한법률,9,8,15,2,5,0
기타범죄,기타범죄,화물자동차운수사업법,2379,2349,3217,150,6,116
기타범죄,기타범죄,기타,22247,21049,17593,6195,2037,1546
