소분류,발생,검거,검거비율
선거방해,1,1,1.000000
특가법(체포·감금 독직폭행·가혹행위),8,7,0.875000
뇌물수수등,161,149,0.925466
뇌물공여등,66,67,1.015152
특가법(뇌물),20,20,1.000000
특가법(알선수재),12,11,0.916667
부정청탁금지법,1,0,0.000000
통화위조·변조,1329,72,0.054176
특가법(통화위조),51,5,0.098039
기타통화에관한죄,431,46,0.106729
공문서위조·변조,2679,2348,0.876446
공전자기록등위작·변작,27,23,0.851852
사문서위조·변조,9478,8107,0.855349
사전자기록등위작·변작,461,237,0.514100
공인등의위조·부정사용및행사,476,392,0.823529
사인등의위조·부정사용및행사,174,158,0.908046
유가증권위조·변조,218,183,0.839450
우표(인지)등위조·변조,1,1,1.000000
사기,230915,189835,0.822099
사기(상습),3325,3217,0.967519
준사기,93,82,0.881720
컴퓨터등사용사기,5014,2339,0.466494
편의시설부정이용,212,141,0.665094
부당이득,45,41,0.911111
특경법(사기),1977,1674,0.846737
보험사기방지특별법위반,32,30,0.937500
횡령,12982,11273,0.868356
업무상횡령,6024,5613,0.931773
점유이탈물등횡령,30496,9118,0.298990
특경법(횡령),551,466,0.845735
배임,1486,1346,0.905787
업무상배임,2254,2068,0.917480
배임수재,181,172,0.950276
배임증재,36,31,0.861111
특경법(배임),367,310,0.844687
특경법(수재등),14,13,0.928571
특경법(증재등),2,2,1.000000
특경법(알선수재),18,16,0.888889
간통,2,0,0.000000
혼인빙자간음(위계간음),1,1,1.000000
공연음란,2466,1948,0.789943
음화등반포(판매 임대 전시 제조),22,19,0.863636
정보통신망이용촉진및정보보호등에관한법률(음란물유포),2412,2059,0.853648
성폭력범죄의처벌등에관한특례법(카메라등이용촬영),5170,4891,0.946035
성폭력범죄의처벌등에관한특례법(통신매체이용음란),1109,1041,0.938683
성폭력범죄의처벌등에관한특례법(성적목적공공장소침입),470,442,0.940426
아동·청소년의성보호에관한법률위반(음란물제작배포등),831,779,0.937425
풍속영업의규제에관한법률,236,235,0.995763
도박,6547,6494,0.991905
도박(상습),387,392,1.012920
도박개장,416,376,0.903846
사행행위등규제및처벌특례법,6096,5922,0.971457
신용 업무와경매에관한죄,24229,23630,0.975278
여신전문금융업법위반,2473,1449,0.585928
대부업의등록및금융이용자보호에관한법률,941,808,0.858661
유사수신행위의규제에관한법률,740,630,0.851351
전자금융거래법위반,5804,5781,0.996037
부정수표단속법,2279,1591,0.698113
조세범처벌법,2707,2444,0.902844
관세법,9,6,0.666667
외국환거래법,87,84,0.965517
지방세법,53,43,0.811321
저작권법,20632,9360,0.453664
특허법,188,151,0.803191
상표법,3113,3003,0.964664
실용신안법,35,26,0.742857
디자인보호법,177,146,0.824859
특가법(관세),4,4,1.000000
특가법(국고손실),2,2,1.000000
특가법(조세),208,178,0.855769
특경법(사금융알선등),11,10,0.909091
특경법(재산국외도피),1,1,1.000000
기타경제범죄,1332,1261,0.946697
마약류관리에관한법률(대마),637,611,0.959184
마약류관리에관한법률(마약),1154,1153,0.999133
마약류관리에관한법률(향정),5465,5260,0.962489
마약류불법거래방지에관한특례법,69,68,0.985507
특가법(마약),1,1,1.000000
특가법(향정),3,3,1.000000
음용수에관한죄,29,21,0.724138
공중위생관리법,1317,1306,0.991648
식품위생법,7847,7781,0.991589
의료법,2158,2086,0.966636
약사법,1261,1230,0.975416
전염병예방법,1,1,1.000000
보건범죄특조법(부정식품),4,3,0.750000
보건범죄특조법(부정의료업자),180,181,1.005556
보건범죄특조법(부정의약품),12,11,0.916667
기타보건범죄,1853,1827,0.985969
대기환경보전법,1009,1001,0.992071
토양환경보전법,14,14,1.000000
야생생물보호및관리에관한법률위반,118,114,0.966102
특가법(산림),6,6,1.000000
폐기물관리법,874,804,0.919908
해양환경관리법,1577,1574,0.998098
환경범죄의단속에관한특별조치법,3,3,1.000000
기타환경범죄,748,736,0.983957
교통사고처리특례법(인피교통사고),192992,187475,0.971413
도로교통법(물피교통사고),17768,13517,0.760750
도로교통법(물피교통사고미조치),97030,47903,0.493693
특가법(도주차량),10683,10207,0.955443
특가법(위험운전치사상),6297,6275,0.996506
교통방해의죄,2045,2007,0.981418
도로교통법(공동위험행위),155,149,0.961290
도로교통법(무면허운전),67053,66158,0.986652
도로교통법(음주운전),201883,201514,0.998172
도로교통법(음주측정거부),2587,2571,0.993815
도로법,1907,1860,0.975354
기타교통범죄,1,1,1.000000
